Descrição,Valor Total,Nº Processo (SES-PRC),CNPJ,Fornecedor,Vigência (180 dias),last_update
"RESPIRADOR SEMIFACIAL PECA FACIALFILTRANTE, CONFECCIONADO EM CAMADASFILTRANTES DE FIBRASSINTETICAS;SEM MANUTENCAO, NOTAMANHO REGULAR, NA COR BRANCA, DO TIPO DOBRAVEL, CLASSE PFF2,SEM VALVULA DEEXALACAO,INDICADO PARA PROTECAO DE VIASRESPIRATORIAS, COM 2 PRESILHAS EM MATERIAL PLASTICO PRETO FIXADAS AS LATERAIS C/2 TIRANTES ELASTICOS ENTRELACADOS, COM 04 ALCAS (02NA PARTE SUPERIOR E 02 NA PARTE INFERIOR), COM ACABAMENTO SOLDADO; COM 01 TIRA METALICA MOLDAVEL FIXADA NA PARTE SUPERIOREXTERNA DA PECA, O RESPIRADOR DEVERA ESTAR DE ACORDO COM A NORMA NBR 13698 - ABNT, COM CERTIFICADO DE APROVACAO DO MINISTERIODO TRABALHO, COM GARANTIA DE 01 ANO CONTRA DEFEITOS DE FABRICACAO",1236468.0,2020-15.581,45.985.371/0001-08,3M DO BRASIL LTDA,04/10/2020,2020-04-24
"MASCARA DE PROTECAO DESCARTAVEL, CONFECCIONADO EM FIBRAS SINTETICAS, SEMIFACIAL SEM VALVULA DE EXALAÇÃO, N95 PFF-2(S), COMMICROFIBRAS TRATADAS ELETROESTATICAMENTE, NÃO TECIDO TRATADO, MOLDADO, COM TIRAS DE ELÁSTICO PARA FIXAÇÃO E CLIPS DE METAL PARAFIXAÇÃO NASAL, QUE PERMITA PROTEÇÃO RESPIRATÓRIA DO USUÁRIO EM AMBIENTE HOSPITALAR, COM PRESENÇA DE AERODISPERSORES, USO EMPROTEÇÃO RESPIRATÓRIACONTRAAEROSSOIS,APRESENTACAO EM MATERIAL QUEGARANTAAINTEGRIDADEDOPRODUTO,ROTULAGEMRESPEITANDO A EXIGENCIAS DA NR 6 DA PORTARIA 3214/78 E ACOMPANHADO DO CA",1191355.2,2020-15.581,45.985.371/0001-08,3M DO BRASIL LTDA,04/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO NÃO ESTÉRIL, CONFECCIONADA EM LÁTEX 100% NATURAL, AMBIDESTRA, ALTA SENSIBILIDADE, TAMANHO M, TOTALMENTEIMPERMEÁVEL, LUBRIFICADA, PUNHO COM BAINHA, COM BOA ELASTICIDADE, TEXTURA UNIFORME. O PRODUTO DEVERÁ POSSUIR CERTIFICAÇÃO CACONFORME ESTABELECIDA PELA  NR 6. EMBALADA EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO.",69800.0,2020-15.857,03.137.410/0001-77,BREMEM COMERCIO E SERVIÇOS LTDA-ME,04/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO NÃO ESTÉRIL, CONFECCIONADA EM LÁTEX 100% NATURAL, AMBIDESTRA, ALTA SENSIBILIDADE, TAMANHO G, TOTALMENTEIMPERMEÁVEL, LUBRIFICADA, PUNHO COM BAINHA, COM BOA ELASTICIDADE, TEXTURA UNIFORME. O PRODUTO DEVERÁPOSSUIR CERTIFICAÇÃO CACONFORME ESTABELECIDA PELA  NR 6. EMBALADA EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO.",872500.0,2020-15.857,03.137.410/0001-77,BREMEM COMERCIO E SERVIÇOS LTDA-ME,04/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO PEQUENO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",34900.0,2020-15.857,03.137.410/0001-77,BREMEM COMERCIO E SERVIÇOS LTDA-ME,04/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO MEDIO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",34900.0,2020-15.857,03.137.410/0001-77,BREMEM COMERCIO E SERVIÇOS LTDA-ME,04/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO, EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO GRANDE, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E ATENDER A LEGISLAÇÃOATUAL.",34900.0,2020-15.857,03.137.410/0001-77,BREMEM COMERCIO E SERVIÇOS LTDA-ME,04/10/2020,2020-04-24
"ESCUDOSPARA PROTEÇÃO DEBALCÕES DE ATENDIMENTO -CHAPA DE ACRILICO,COM ESPESSURA DE3MM, MEDINDO 2000X1000 MM,TRANSPARENTE",223000.0,2020-16.083,27.721.850/0001-35,DANIEL DOS SANTOS PEREIRA EPP,20/10/2020,2020-04-24
"COBERTURA/INVOLUCRO DE OBITO, EM POLIETILENO DE BAIXA DENSIDADE,IMPERMEAVEL E BIODEGRADAVEL,FORMATO DE SACO NA COR CINZA OUBRANCO, COM FICHA DE IDENTIFICACAO, E EXTERNAMENTE COM A FRASE ""AGENTES BIOLOGICOS RISCO 3"",COM""ZIPER""FRONTAL EM TODA SUAEXTENSAO, ACABAMENTO COM SOLDA, ACOMPANHA SACO PARA RESIDUO, TAMANHO PEQUENO, MINIMO DE 50CM DE LAGURA E 100CM DECOMPRIMENTO, ESPESSURA DE 0,12, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE; EMBALAGEM QUE GARANTAA INTEGRIDADE DO PRODUTO.",8786.4,2020-16.120,03.644.345/0001-76,POLIFILME INDÚSTRIA E COMÉRCIO DE EMBALAGENS LTDA.,10/10/2020,2020-04-24
"COBERTURA/INVOLUCRO DE OBITO, EM POLIETILENO DE BAIXA DENSIDADE,IMPERMEAVEL E BIODEGRADAVEL, FORMATO DE SACO NA COR CINZA OUBRANCO, COM FICHA DE IDENTIFICACAO, E EXTERNAMENTE COM A FRASE ""AGENTES BIOLOGICOS RISCO 3"", COM""ZIPER""FRONTAL EM TODA SUAEXTENSAO,ACABAMENTO COM SOLDA, ACOMPANHA SACO PARA RESIDUO,TAMANHO GRANDE, MINIMO DE 90CM DELAGURA E 210CM DECOMPRIMENTO, ESPESSURA DE 0,16, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE; EMBALAGEM QUE GARANTAA INTEGRIDADE DO PRODUTO",788240.0,2020-16.120,03.644.345/0001-76,POLIFILME INDÚSTRIA E COMÉRCIO DE EMBALAGENS LTDA.,10/10/2020,2020-04-24
"COBERTURA/INVOLUCRO DE OBITO, EM POLIETILENO DE BAIXA DENSIDADE,IMPERMEAVEL E BIODEGRADAVEL, FORMATO DE SACO NA COR CINZA OUBRANCO, COM FICHA DE IDENTIFICACAO, COM""ZIPER""FRONTAL EM TODA SUA EXTENSAO, ACABAMENTO COM SOLDA, ACOMPANHA SACO PARARESIDUO, EEXTERNAMENTE A FRASE, ""AGENTE BIOLOGICO RISCO 3"", TAMANHO MEDIO, MINIMO DE 60 CM DE LAGURA E 150CM DE COMPRIMENTO,ESPESSURA DE 0,15, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE; EMBALAGEM QUE GARANTA A INTEGRIDADEDO PRODUTO",11720.0,2020-16.120,03.644.345/0001-76,POLIFILME INDÚSTRIA E COMÉRCIO DE EMBALAGENS LTDA.,10/10/2020,2020-04-24
"COBERTURA/INVOLUCRO DE OBITO, EM POLIETILENO DE BAIXA DENSIDADE,IMPERMEAVEL E BIODEGRADAVEL, FORMATO DE SACO NA COR CINZA OUBRANCO, COM FICHA DE IDENTIFICACAO, COM""ZIPER""FRONTALEM TODA SUA EXTENSAO, ACABAMENTO COM SOLDA, ACOMPANHA SACO PARARESIDUO, EEXTERNAMENTE A FRASE ""AGENTE BIOLOGICO RISCO 3"", TAMANHO EXTRA GRANDE, MINIMO DE 90CM DE LAGURA E 220CM DECOMPRIMENTO, ESPESSURA DE 0,16, A APRESENTAÇAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE; EMBALAGEM QUE GARANTAA INTEGRIDADE DO PRODUTO",198992.0,2020-16.120,03.644.345/0001-76,POLIFILME INDÚSTRIA E COMÉRCIO DE EMBALAGENS LTDA.,10/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO GRANDE, COM PUNHO ACABADO DE 4 A 6 CM E BAINHA DO MESMO MATERIAL DA LUVA, NAO ESTERIL, EMBALADO EM EMBALAGEMPLASTICA INDIVIDUAL CONTENDO UM PAR, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",170000.0,2020-16.176,09.260.071/0001-06,CIRURGICA KD LTDA,04/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO MEDIO, COM PUNHO ACABADO DE 04 A 06 CM, COM BAINHA DO MESMO MATERIAL DA LUVA, ESTERIL, EMBALADO EM MATERIAL QUEGARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",1360000.0,2020-16.176,09.260.071/0001-06,CIRURGICA KD LTDA,04/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO,EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO PEQUENO, COM PUNHO ACABADO DE 04 A 06 CM COM BAINHA DO MESMO MATERIAL DA LUVA, ESTERIL, EMBALADO EM MATERIALQUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",204000.0,2020-16.176,09.260.071/0001-06,CIRURGICA KD LTDA,04/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM VINIL, ATOXICA E ANTIALERGICA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATOANATOMICO, COM BOA ELASTICIDADE, RESISTENTE, NAO LUBRIFICADA,ISENTA DE TALCO OU QUALQUER OUTRO TIPO DE PO, NO TAMANHO MEDIO,COM PUNHO ACABADO DE 04 A 06 CM COM BAINHA DO MESMO MATERIAL DA LUVA, NAO ESTERIL, EMBALADO EM MATERIAL QUE GARANTA AINTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE E ATENDER A NBR11193-1",57800.0,2020-16.208,34.094.860/0001-53,KT EPI COM. DE PROD. DE PROT. INDIVIDUAL E INDUSTRIAL - ERELI,10/10/2020,2020-04-24
"AVENTAL DESCARTAVEL,EM NAO TECIDO,100% POLIPROPILENO (TNT),LAMINADO, ABSORVENTEEIMPERMEAVEL, NAO ESTERIL,50G/M2,ACABAMENTO EM FECHAMENTO NAS COSTAS E CINTURA COM SISTEMA DE AJUSTE E FIXACAO ATRAVES DE DOIS PARES DE AMARRILHOS, MANGALONGA COM PUNHO EM MALHA CANELADA NA COLORIDO MEDINDO APROXIMADAMENTE 1,30 X 1,50, DECOTE COM VIÉS, TIRAS COSTURADAS, EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA OBEDECER A LEGISLAÇÃO VIGENTE",10880000.0,2020-16.211,04.124.669/0001-46,TECNO 4 PRODUTOS HOSPITALARES LTDA. EPP,05/10/2020,2020-04-24
"OCULOS CIRURGICO DE PROTEÇÃO, EM MATERIAL ACRILICO OU SIMILAR SEM REBARBAS,ATOXICO, COM ADAPTACAO CONFORTAVEL AO ROSTO EPROTETOR LATERAL, EMBALADO EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, A APRESENTACAO DO PRODUTO DEVERA OBEDECER ALEGISLACAO ATUAL VIGENTE",113050.0,2020-16.361,07.439.329/0003-64,"DVT COMERCIO,IMPORTAÇÃO E EXPORTAÇÃO LTDA",10/10/2020,2020-04-24
"OCULOS CIRURGICO DE PROTEÇÃO, EM MATERIAL ACRILICO OU SIMILAR LENTE UNICA, TIPO AMPLA VISAO,INCOLOR, EM POLICARBONATO ANTI-EMBACANTE E ARMACAO EM PVC MALEAVEL, COM CONFORTÁVEL AO CONTORNO DO ROSTO C/REGULAGEM DE COMPRIMENTO E VENTILACAODIRETA SUPERIOR, EMBALADO EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, A APRESENTACAO DO PRODUTO DEVERA OBEDECER ALEGISLACAO VIGENTE COM CERTIFICADO DE APROVAÇÃO (CA) VALIDO",64040.0,2020-16.361,07.439.329/0003-64,"DVT COMERCIO,IMPORTAÇÃO E EXPORTAÇÃO LTDA",10/10/2020,2020-04-24
"MASCARA FACIAL, COM ADAPTADOR PARA O VISOR COM ELASTICO, NÃO ESTERIL, ANATOMICO, SEM REBARBAS PROTEÇÃO DE LIQUIDOS E POEIRAS,CONSTITUIDO DE VISOR EM POLICARBONATO, MEDINDO APROXIMADAMENTE22,2CM X23,8CM E0,5MM DEESPESSURA,TRANSPARENTE, AAPRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLAÇÃO ATUAL VIGENTE E EMBALADO INDIVIDUALMENTE EM MATERIAL QUE GARANTA AINTEGRIDADE DO PRODUTO",320000.0,2020-16.642,04.626.152/0001-55,HANNOVER PLASTICOS S.A.,10/10/2020,2020-04-24
"COBERTURA DE POLIMERO E OUTRAS ASSOCIACOES MEDINDO 20X50CM, AUTOADERENTE, ATRAUMATICO, RECORTAVEL, FLEXIVEL, COMPOSTO PORCAMADA DE SILICONE SUAVE, CAMADA FINA DE ESPUMA DE POLIURETANO E FILME SEMIPERMEAVEL DE POLIURETANO, ESTERIL, EMBALADO EMMATERIAL QUE PROMOVA BARREIRA MICROBIANA E ABERTURA ASSEPTICA, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLAÇÃOVIGENTE",145800.0,2020-16.645,12.600.168/0001-17,MOLNNLYCKE HEALTH CARE VENDA DE PRODUTOS MÉDICOS LTDA.,12/10/2020,2020-04-24
"MASCARA DE PROTECAO DESCARTAVEL CONFECCIONADO EM TNT 100% POLIPROPILENO, COM CAMADA SIMPLES, COM GRAMATURA 60GR , ELÁSTICOPARA FIXAÇÃO; ACABAMENTO NAS EXTREMIDADES POR COSTURA, QUE NÃO PASSA E NEM RECEBE MICRO-GOTÍCULAS, TAMANHONICO; TRÊSPREGAS, SEM CLIP NASAL, USO EM AMBIENTES COM POEIRA E UMIDADE, APRESENTACAO EM EMBALAGEM QUE GARANTA A INTEGRIDADE DOPRODUTO, ROTULAGEM RESPEITANDO A LEGISLAÇÃO ATUAL VIGENTE",46000.0,2020-16.647,27.478.461/0001-20,YASMIN ANDRIES CURY ME,19/10/2020,2020-04-24
"Máscara de proteção tipo respirador, formato anatômico, adulto descartável, antialérgica,inodora, atóxica, confeccionada em fibras de poliéster, commeio filtrante, camada externa de polipropileno e polietileno, uma camada interna de celulose /poliéster (classe PFF2/ N 95), um par de elásticos parafixação. O produto deverá atender a NBR 13698 e 13697 e aprovação no Ministério do Trabalho. Embalado em material que garanta a integridade doproduto.",2872000.0,2020-16.648,45.985.371/0001-08,3M DO BRASIL LTDA,10/10/2020,2020-04-24
"MASCARA DE PROTECAO DESCARTAVEL, CONFECCIONADO EM FIBRASSINTETICAS, SEMI FACIAL SEM VALVULA DE EXALAÇÃO, 95 PFF-2(S), COMMICROFIBRAS TRATADAS ELETROESTATICAMENTE, NÃO TECIDO TRATADO, MOLDADO, COM TIRAS DE ELÁSTICO PARA FIXAÇÃO E CLIPS DE METAL PARAFIXAÇÃO NASAL, QUE PERMITA PROTEÇÃO RESPIRATÓRIA DO USUÁRIO EM AMBIENTE HOSPITALAR, COM PRESENÇA DE AERODISPERSORES, USO EMPROTEÇÃO RESPIRATÓRIACONTRAAEROSSOIS,APRESENTACAO EM MATERIAL QUEGARANTAAINTEGRIDADEDOPRODUTO,ROTULAGEMRESPEITANDO A EXIGENCIAS DA NR 6 DA PORTARIA 3214/78 E ACOMPANHADO DO CA",763200.0,2020-16.648,45.985.371/0001-08,3M DO BRASIL LTDA,10/10/2020,2020-04-24
"RESPIRADOR SEMIFACIAL PECA FACIALFILTRANTE, CONFECCIONADO EM CAMADASFILTRANTES DE FIBRASSINTETICAS;SEM MANUTENCAO, NOTAMANHO REGULAR, NA COR BRANCA, DO TIPO DOBRAVEL, CLASSE PFF2,SEM VALVULA DEEXALACAO,INDICADO PARA PROTECAO DE VIASRESPIRATORIAS, COM 2 PRESILHAS EM MATERIAL PLASTICO PRETO FIXADAS AS LATERAIS C/2 TIRANTES ELASTICOS ENTRELACADOS, COM 04 ALCAS (02NA PARTE SUPERIOR E 02 NA PARTE INFERIOR), COM ACABAMENTO SOLDADO; COM 01 TIRA METALICA MOLDAVEL FIXADA NA PARTE SUPERIOREXTERNA DA PECA, O RESPIRADOR DEVERA ESTAR DE ACORDO COM A NORMA NBR 13698 - ABNT, COM CERTIFICADO DE APROVACAO DO MINISTERIODO TRABALHO, COM GARANTIA DE 01 ANO CONTRA DEFEITOS DE FABRICACAO",494587.2,2020-16.648,45.985.371/0001-08,3M DO BRASIL LTDA,10/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO GRANDE, COM PUNHO ACABADO DE 4 A 6 CM E BAINHA DO MESMO MATERIAL DA LUVA, NAO ESTERIL, EMBALADO EM EMBALAGEMPLASTICA INDIVIDUAL CONTENDO UM PAR, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",98600.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO, EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO MEDIO, COM PUNHO ACABADO DE 04 A 06 CM, COM BAINHA DO MESMO MATERIAL DA LUVA, ESTERIL, EMBALADO EM MATERIAL QUEGARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",680000.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"LUVA PARA PROCEDIMENTO,EM LATEX COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEM FALHAS E FORMATO ANATOMICO, TALCADA,NO TAMANHO PEQUENO, COM PUNHO ACABADO DE 04 A 06 CM COM BAINHA DO MESMO MATERIAL DA LUVA, ESTERIL, EMBALADO EM MATERIALQUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E REGISTRO DO MINISTERIO DA SAUDE EATENDER A NBR 11193-1",170000.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO, EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME,SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO GRANDE, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA,E ATENDER A LEGISLAÇÃOATUAL.",170000.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO MEDIO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",340000.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"LUVA DE PROCEDIMENTO EM 100% BORRACHA NITRILICA, SEM FORRO, COR VARIADA, COM BOA SENSIBILIDADE TATIL, COM TEXTURA UNIFORME, SEMFALHAS E FORMATO ANATOMICO, NAO TALCADA, NO TAMANHO PEQUENO, COM PUNHO ACABADO DE CANO LONGO, NAO ESTERIL, EMBALADO EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA, E ATENDER A LEGISLAÇÃOATUAL",340000.0,2020-17.011,09.260.071/0001-06,CIRURGICA KD LTDA,13/10/2020,2020-04-24
"MASCARA CIRURGICA DESCARTAVEL , EM NAO TECIDO,100% POLIPROPILENO,GRAMATURA 20G/M2,C/TIRAS DE MINIMO 30CM OU ELASTICO, COM CLIPNASAL E PREGAS HORIZONTAIS, TRES CAMADAS,C/ACABAMENTO EM SOLDA ELETRONICA, HIPOALERGICAS, SENDO A INTERMEDIARIA C/FILTRO QUEGARANTA VENTILACAO ADEQUADA, EMBALAGEM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, A APRESENTACAO DO PRODUTO DEVERAOBEDECER A LEGISLACAO ATUAL VIGENTE",104400000.0,2020-17.040,07.139.218/0001-70,FORMED REPRESENTAçAO E COM DE EQUIPTOS ME,14/10/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 12 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA OMANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",2239920.0,2020-17.143,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,13/10/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 14 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",4479840.0,2020-17.143,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,13/10/2020,2020-04-24
"SISTEMA DE ASPIRACAO TRAQUEAL FECHADO, COMPOSTO POR: SONDA DE ASPIRACAO ENDOTRAQUEAL, EM PVC OU SIMILAR, COM PONTA LISA,MEDINDO NO MINIMO 48CM DE COMPRIMENTO E CALIBRE 16 FR COM MARCA DE GRADUACAO EM TODA EXTENSAO DO TUBO, COM C/ORIFICIOSLATERAIS INDICADO P/ PROCEDIMENTOS DE ASPIRACAO DE SECRECOES EM PACIENTES EM VENTILACAO, LUVA EM ACETATO VINILO POLIETILENO OUSIMILAR,POSSIBILITA O MANUSEIO DO TUBO S/ CONTATO C/ SECRECAO, ADAPTADOR COM UNIVERSAL, COM APRESENTA VIA MDI, POSSIBILITA O USODE AEROSSOL SEM DESCONEXAO DO TUBO, COM POSSUI VALVULA P/ ATIVAÇAO DA ASPIRACAO, VIA DE IRRIGACAO QUE PERMITE INSTILACAO ELAVAGEM DO TUBO, CONECTOR DE VACUO COM TAMPA PROTETORA, ESTERIL, EMBALADO EM EMBALAGEM INDIVIDUAL, A APRESENTACAO DOPRODUTO DEVERA OBEDECER A LEGISLACAO VIGENTE",748133.28,2020-17.143,61.418.042/0001-31,CIR.FERNANDES COM.MAT.CIR.E HOS.SOCIED.LT,13/10/2020,2020-04-24
"HIGIENIZADOR, EM GEL, NEUTRO, COMPOSTO DE ALCOOL ETILICO 70%, CONTENDO HIDRATANTE PARA PELE,INDICADO PARA ACAO BACTERICIDA EANTISSEPTICO PARA AS MAOS, ACONDICIONADO EM FRASCO PLASTICO, C/ VALVULA TIPO PUMP C/ BICO DOSADOR E C/ DISPOSITIVO ANTI-ENTUPIMENTO E VAZAMENTO, PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA AOS PROCEDIMENTOS ADM.DETERMINADOS PELA ANVISA",72150.0,2020-17.203,31.543.766/0001-46,QUALIFY COMERCIO DISTRIBUICAO E SERVICOS - EIRELI,13/10/2020,2020-04-24
